"url","title","source"
"https://sac.impuestos.gob.bo/formularios/pdf/4.-%20Tomo%20II-03-26.pdf","TOMO II - Biblioteca Virtual Impuestos","search_sac_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/4.-%20Tomo%20II-04-26.pdf","TOMO II - Biblioteca Virtual Impuestos","search_sac_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/4.-Tomo%20II%20-11-25.pdf","TOMO II - Biblioteca Virtual Impuestos","search_sac_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/5.-%20Tomo%20III%20-%20C%C3%93DIGO%20TRIBUTARIO-03-23.pdf","TOMO III - Biblioteca Virtual Impuestos - Impuestos Nacionales","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/5.-%20Tomo%20III-01-26.pdf","Â¡Dios, familia y patria! - Biblioteca Virtual Impuestos","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/5.-%20Tomo%20III-04-26.pdf","Â¡ Dios, familia y patria ! - Biblioteca Virtual Impuestos","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/5.-Tomo%20III%20-%2011-25.pdf","Â¡Dios, familia y patria! - Biblioteca Virtual Impuestos","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/6.-%20Tomo%20IV-01-26.pdf","TOMO IV - Biblioteca Virtual Impuestos","search_sac_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/6.-%20Tomo%20IV-02-26.pdf","TOMO IV - Biblioteca Virtual Impuestos","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/6.-%20Tomo%20IV-03-26.pdf","TOMO IV - Biblioteca Virtual Impuestos","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/6.-%20Tomo%20IV-04-26.pdf","TOMO IV - Biblioteca Virtual Impuestos","search_sac_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/7.-%20Tomo%20V-01-26.pdf","TOMO V - Biblioteca Virtual Impuestos","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/7.-%20Tomo%20V-02-26.pdf","TOMO V - Biblioteca Virtual Impuestos","search_sac_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/7.-%20Tomo%20V-03-26.pdf","TOMO V - Biblioteca Virtual Impuestos","search_sac_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/7.-%20Tomo%20V-04-26.pdf","TOMO V - Biblioteca Virtual Impuestos","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/Anulacion%20Facturas.pdf","ANULACIÃ“N","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/BOLETIN%20RCV.pdf","REGISTRO DE COMPRAS Y VENTAS","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/Cartilla%20Retenciones.pdf","Cartilla Retenciones.pdf","search_sin_bolivia_web.json"
"https://sac.impuestos.gob.bo/formularios/pdf/CARTILLA%20TRANSPORTE%2024.pdf","TRANSPORTE","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/FACTURAS%20INUTILIZADAS%2022.pdf","FACTURAS INUTILIZADAS","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/LEY%202492-09-22.pdf","LEY 2492-09-22.pdf","search_sac_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/LEY%20843-09-22.pdf","LEY 843-09-22.pdf - Biblioteca Virtual Impuestos","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/PREGUNTAS%20DDJJ%20V2.pdf","Frecuentes","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/PREGUNTAS%20PREGUNTAS%20RCN.pdf","Preguntas","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/PRESENCIAL/ADI_EA.pdf","PROGRAMACIÃ“N DE CAPACITACIÃ“N EXTERNA ...","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/PRESENCIAL/ADI_LPZI.pdf","PROGRAMACIÃ“N DE CAPACITACIÃ“N EXTERNA ...","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/PRESENCIAL/ADI_LPZII.pdf","PROGRAMACIÃ“N DE CAPACITACIÃ“N EXTERNA ...","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/PRESENCIAL/ADI_OR.pdf","PROGRAMACIÃ“N DE CAPACITACIÃ“N EXTERNA ...","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/PRESENCIAL/ADI_SCI.pdf","PROGRAMACIÃ“N DE CAPACITACIÃ“N EXTERNA ...","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/PRESENCIAL/ADII_EA.pdf","PROGRAMACIÃ“N DE CAPACITACIÃ“N EXTERNA ...","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/PRESENCIAL/BENI.pdf","PROGRAMACIÃ“N DE CAPACITACIÃ“N EXTERNA ...","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/PRESENCIAL/BENI_RIBERALTA.pdf","PROGRAMACIÃ“N DE CAPACITACIÃ“N EXTERNA ...","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/PRESENCIAL/BENI_SANTA_ANA.pdf","PROGRAMACIÃ“N DE CAPACITACIÃ“N EXTERNA ...","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/PRESENCIAL/CHUQUISACA.pdf","PROGRAMACIÃ“N DE CAPACITACIÃ“N EXTERNA ...","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/PRESENCIAL/CHUQUISACA_CAMARGO.pdf","PROGRAMACIÃ“N DE CAPACITACIÃ“N EXTERNA ...","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/PRESENCIAL/CHUQUISACA_MONTEAGUDO.pdf","PROGRAMACIÃ“N DE CAPACITACIÃ“N EXTERNA ...","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/PRESENCIAL/COCHABAMBA.pdf","PROGRAMACIÃ“N DE CAPACITACIÃ“N EXTERNA ...","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/PRESENCIAL/GGSCZ.pdf","PROGRAMACIÃ“N DE CAPACITACIÃ“N EXTERNA ...","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/PRESENCIAL/ORURO.pdf","PROGRAMACIÃ“N DE CAPACITACIÃ“N EXTERNA ...","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/PRESENCIAL/POTOSI.pdf","1484 PRESENCIAL","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/PRESENCIAL/POTOSI_TUPIZA.pdf","PROGRAMACIÃ“N DE CAPACITACIÃ“N EXTERNA ...","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/PRESENCIAL/QUILLACOLLO.pdf","PROGRAMACIÃ“N DE CAPACITACIÃ“N EXTERNA ...","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/PRESENCIAL/TARIJA.pdf","PROGRAMACIÃ“N DE CAPACITACIÃ“N EXTERNA ...","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/SEPARATA%20BANCARIZACION%2024.pdf","SEPARATA BANCARIZACION 24.pdf","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/SEPARATA%20CONSTRUCTORAS%2025.pdf","CONSTRUCCIÃ“N","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/Separata%20HOTELES%2025.pdf","HOTELES - Biblioteca Virtual Impuestos","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/TEXTO%20ALQUILER.pdf","ALQUILERES","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/TEXTO%20ANTICRETICOS.pdf","ANTICRÃ‰TICO","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/TEXTO%20DECLARACIONES%20JURADAS.pdf","declaraciones - juradas v.2","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/TEXTO%20ENAJENACION.pdf","TransmisiÃ³n o enajenaciÃ³n de bienes â€“ Formulario 430","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/TEXTO%20MODIFICACION%2025.pdf","MODIFICACIONES AL","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/TEXTO%20PROFESIONALES.pdf","PROFESIONALES","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/TEXTO%20PUCT.pdf","PLAN ÃšNICO DE CUENTAS TRIBUTARIO APLICACIÃ“N ...","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/TEXTO%20RCV%2025.pdf","REGISTRO DE COMPRAS Y VENTAS","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/TEXTO%20REGISTRO%20BENEFICIARIO.pdf","registro - beneficiario final","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/Tomo%20I-09-22.pdf","TOMO I - Biblioteca Virtual Impuestos","search_sac_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/Tomo%20II-09-22.pdf","TOMO II - Biblioteca Virtual Impuestos","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/Tomo%20IV-09-22.pdf","TOMO IV - Biblioteca Virtual Impuestos","search_sac_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/Tomo%20V-09-22.pdf","TOMO V - Biblioteca Virtual Impuestos","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/VIRTUAL/ALQUILERES.pdf","REMISIÃ“N DE INFORMACIÃ“N","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/VIRTUAL/BIENV%20RG.pdf","REMISIÃ“N DE INFORMACIÃ“N","map_sac_formularios_pdf.json"
"https://sac.impuestos.gob.bo/formularios/pdf/VIRTUAL/BIENV%20RTS.pdf","REMISIÃ“N DE INFORMACIÃ“N","map_sac_formularios_pdf.json"
